Player,Age,Team,G,GS,Att,Yds,TD,1D,Succ%,Lng,Y/A,Y/G,A/G,Fmb,Awards
Andre Roberts,31.0,BUF,13.0,0.0,1.0,7.0,0.0,0.0,100.0,7.0,7.0,0.5,0.1,1.0,PB
Allen Robinson,26.0,CHI,16.0,15.0,1.0,2.0,0.0,0.0,0.0,2.0,2.0,0.1,0.1,0.0,0
Ben Roethlisberger,37.0,PIT,2.0,2.0,1.0,7.0,0.0,0.0,100.0,7.0,7.0,3.5,0.5,1.0,0
Greg Ward,24.0,PHI,7.0,3.0,1.0,5.0,0.0,0.0,0.0,5.0,5.0,0.7,0.1,0.0,0
Trevon Wesco,24.0,NYJ,16.0,1.0,1.0,2.0,0.0,1.0,100.0,2.0,2.0,0.1,0.1,0.0,0
Jarius Wright,30.0,CAR,16.0,9.0,1.0,-7.0,0.0,0.0,0.0,-7.0,-7.0,-0.4,0.1,0.0,0
Danny Amendola,34.0,DET,15.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Mark Andrews,24.0,BAL,15.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,PB
JJ Arcega-Whiteside,22.0,PHI,16.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Dan Arnold,24.0,2TM,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Dan Arnold,24.0,ARI,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Marcell Ateman,25.0,OAK,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
Nick Bawden,23.0,DET,10.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Cole Beasley,30.0,BUF,15.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Josh Bellamy,30.0,NYJ,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
